Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,label
-3.5681505,1.0449773,1.0823417,-3.088205,-3.589948,0.8888439,0.7394114,-3.0727072,-3.1974475,0.8342283,0.48729956,-3.045223,-2.8368018,0.61665046,0.7306206,-2.9369602,-2.9958327,0.13360769,0.32251063,-3.177581,1
-3.5681505,0.37685472,0.31425628,-3.088205,-3.589948,-0.32432088,0.40430617,-3.0727072,-3.1974475,0.14584322,0.4040953,-3.045223,-2.8368018,0.1771732,0.5170811,-2.9369602,-2.9958327,-0.05848626,0.37775198,-3.177581,1
-3.5681505,0.8004147,0.31425628,-3.088205,-3.589948,0.47896633,0.40430617,-3.0727072,-3.1974475,0.45608327,0.4040953,-3.045223,-2.8368018,0.46899426,0.5170811,-2.9369602,-2.9958327,0.07298634,0.37775198,-3.177581,1
-3.5681505,0.8393499,0.31425628,-3.088205,-3.589948,0.4907639,0.40430617,-3.0727072,-3.1974475,0.44068703,0.4040953,-3.045223,-2.8368018,0.3806953,0.5170811,-2.9369602,-2.9958327,0.15966967,0.37775198,-3.177581,1
-3.5681505,0.8393499,0.31425628,-3.088205,-3.589948,0.4907639,0.40430617,-3.0727072,-3.1974475,0.44068703,0.4040953,-3.045223,-2.8368018,0.3806953,0.5170811,-2.9369602,-2.9958327,0.15966967,0.37775198,-3.177581,1
-3.5681505,0.8918828,0.50077736,-3.088205,-3.589948,0.331752,0.37151694,-3.0727072,-3.1974475,0.4301304,0.5416948,-3.045223,-2.8368018,0.58811975,0.67736864,-2.9369602,-2.9958327,0.3306648,0.5400356,-3.177581,1
-3.5681505,0.813736,0.6789635,-3.088205,-3.589948,0.40218005,0.49140242,-3.0727072,-3.1974475,0.63430256,0.6003436,-3.045223,-2.8368018,0.78390014,0.79222244,-2.9369602,-2.9958327,0.41539702,0.67742,-3.177581,1
-3.5681505,0.45773682,0.77447796,-3.088205,-3.589948,0.40587705,0.52641046,-3.0727072,-3.1974475,0.7450889,0.4886772,-3.045223,-2.8368018,0.89589,0.9330616,-2.9369602,-2.9958327,0.8117877,0.8712591,-3.177581,1
-3.5681505,0.3664447,0.77447796,-3.088205,-3.589948,0.45950806,0.52641046,-3.0727072,-3.1974475,0.711272,0.4886772,-3.045223,-2.8368018,0.82860506,0.9330616,-2.9369602,-2.9958327,1.031701,0.8712591,-3.177581,1
-3.5681505,0.3664447,0.77447796,-3.088205,-3.589948,0.45950806,0.52641046,-3.0727072,-3.1974475,0.711272,0.4886772,-3.045223,-2.8368018,0.82860506,0.9330616,-2.9369602,-2.9958327,1.031701,0.8712591,-3.177581,1
-3.5681505,0.3664447,0.29453552,-3.088205,-3.589948,0.45950806,1.26E-05,-3.0727072,-3.1974475,0.711272,-0.3248619,-3.045223,-2.8368018,0.82860506,0.66891754,-2.9369602,-2.9958327,1.031701,0.39209738,-3.177581,1
-3.7129548,0.3664447,0.33070093,-3.088205,-3.685969,0.45950806,-0.1045705,-3.0727072,-2.8922596,0.711272,0.12524176,-3.045223,-3.027442,0.82860506,0.71633554,-2.9369602,-3.0146096,1.031701,0.39247784,-3.177581,1
-3.5813894,0.3664447,0.5223814,-3.088205,-3.6955543,0.45950806,-0.4810956,-3.0727072,-2.8506467,0.711272,0.12738496,-3.045223,-2.798658,0.82860506,0.6809331,-2.9369602,-3.0672352,1.031701,0.38160315,-3.177581,1
-3.5291147,0.78789306,0.58158875,-3.088205,-3.7179441,0.17782985,-0.26703525,-3.0727072,-2.9092493,0.34826204,0.29285574,-3.045223,-2.668489,0.37515622,0.47867417,-2.9369602,-3.1003544,0.14029554,0.41084406,-3.177581,1
-3.5291147,0.4875336,0.27503785,-3.088205,-3.7179441,0.18868524,-0.2792823,-3.0727072,-2.9092493,0.4095419,0.28119028,-3.045223,-2.668489,0.3674817,0.5276331,-2.9369602,-3.1003544,0.10714674,0.46904507,-3.177581,1
-3.5291147,0.5396561,-0.15769927,1.3500159,-3.7179441,-0.07207075,-0.45418516,1.0475646,-2.9092493,0.11691248,-0.06771042,0.8308433,-2.668489,0.27391848,0.57188845,0.7017056,-3.1003544,-0.01346256,0.47097373,0.30864128,1
1.2184168,0.41802382,0.04509007,1.3050381,0.9266552,-0.14296809,-0.057701036,1.1081861,0.8615807,0.24443004,0.3981625,0.7067942,1.2307731,0.08652888,0.62844443,0.67192197,0.6454911,-0.052290577,0.3966106,0.3827955,1
1.2197936,0.5635777,0.5361823,1.3586409,0.8562934,0.050489396,0.14565486,1.0524299,0.82297975,0.17175625,0.28998235,0.5692847,1.1975266,0.13321003,0.628723,0.5251445,0.6886057,-0.018270498,0.40706852,0.34909743,1
1.2197936,0.6246203,0.46509966,1.3586409,0.8562934,0.042047292,0.027194757,1.0524299,0.82297975,0.3704734,0.12820889,0.5692847,1.1975266,0.268597,0.48718747,0.5251445,0.6886057,-0.065024324,0.4415631,0.34909743,1
1.2197936,0.100747176,0.38039613,1.3586409,0.8562934,-0.3707326,0.05055681,1.0524299,0.82297975,0.45844066,0.5895586,0.5692847,1.1975266,0.26509568,0.49408093,0.5251445,0.6886057,-0.037710167,0.4041793,0.34909743,1
1.2197936,0.124030784,0.3673182,1.1870279,0.8562934,-0.34864402,0.083799124,0.8733575,0.82297975,0.3765871,0.5895586,0.88294,1.1975266,0.14824262,0.46919826,0.7669551,0.6886057,-0.1846697,0.31409147,0.6200192,1
1.2197936,0.16072418,0.7904263,1.1750852,0.8562934,0.09960333,0.44759786,0.8182057,0.82297975,0.26135013,0.23940282,0.81666076,1.1975266,0.100630775,0.35738814,0.7649928,0.6886057,-0.25652692,0.33376384,0.626524,1
1.2197936,0.34624633,1.0883638,1.1750852,0.8562934,0.27901784,0.74917036,0.8182057,0.82297975,-0.019913785,0.2353265,0.81666076,1.1975266,0.21534549,0.3786208,0.7649928,0.6886057,-0.111443944,0.283096,0.626524,1
1.2197936,0.34624633,0.31923094,1.1750852,0.8562934,0.27901784,0.011454821,0.8182057,0.82297975,-0.019913785,-0.09166129,0.81666076,1.1975266,0.21534549,0.3340927,0.7649928,0.6886057,-0.111443944,0.299041,0.626524,1
1.2197936,0.34624633,0.30600154,1.1750852,0.8562934,0.27901784,0.13999052,0.8182057,0.82297975,-0.019913785,0.32552466,0.81666076,1.1975266,0.21534549,0.4002728,0.7649928,0.6886057,-0.111443944,0.19868699,0.626524,1
